Unnamed: 0,curbweight,enginesize,horsepower,citympg,highwaympg,price
0,2548,130,111,21,27,13495.0
1,2548,130,111,21,27,16500.0
2,2823,152,154,19,26,16500.0
3,2337,109,102,24,30,13950.0
4,2824,136,115,18,22,17450.0
5,2507,136,110,19,25,15250.0
6,2844,136,110,19,25,17710.0
7,2954,136,110,19,25,18920.0
8,3086,131,140,17,20,23875.0
9,3053,131,160,16,22,17859.167
10,2395,108,101,23,29,16430.0
11,2395,108,101,23,29,16925.0
12,2710,164,121,21,28,20970.0
13,2765,164,121,21,28,21105.0
14,3055,164,121,20,25,24565.0
15,3230,209,182,16,22,30760.0
16,3380,209,182,16,22,41315.0
17,3505,209,182,15,20,36880.0
18,1488,61,48,47,53,5151.0
19,1874,90,70,38,43,6295.0
20,1909,90,70,38,43,6575.0
21,1876,90,68,37,41,5572.0
22,1876,90,68,31,38,6377.0
23,2128,98,102,24,30,7957.0
24,1967,90,68,31,38,6229.0
25,1989,90,68,31,38,6692.0
26,1989,90,68,31,38,7609.0
27,2191,98,102,24,30,8558.0
28,2535,122,88,24,30,8921.0
29,2811,156,145,19,24,12964.0
30,1713,92,58,49,54,6479.0
31,1819,92,76,31,38,6855.0
32,1837,79,60,38,42,5399.0
33,1940,92,76,30,34,6529.0
34,1956,92,76,30,34,7129.0
35,2010,92,76,30,34,7295.0
36,2024,92,76,30,34,7295.0
37,2236,110,86,27,33,7895.0
38,2289,110,86,27,33,9095.0
39,2304,110,86,27,33,8845.0
40,2372,110,86,27,33,10295.0
41,2465,110,101,24,28,12945.0
42,2293,110,100,25,31,10345.0
43,2337,111,78,24,29,6785.0
44,1874,90,70,38,43,8916.5
45,1909,90,70,38,43,8916.5
46,2734,119,90,24,29,11048.0
47,4066,258,176,15,19,32250.0
48,4066,258,176,15,19,35550.0
49,3950,326,262,13,17,36000.0
50,1890,91,68,30,31,5195.0
51,1900,91,68,31,38,6095.0
52,1905,91,68,31,38,6795.0
53,1945,91,68,31,38,6695.0
54,1950,91,68,31,38,7395.0
55,2380,70,101,17,23,10945.0
56,2380,70,101,17,23,11845.0
57,2385,70,101,17,23,13645.0
58,2500,80,135,16,23,15645.0
59,2385,122,84,26,32,8845.0
60,2410,122,84,26,32,8495.0
61,2385,122,84,26,32,10595.0
62,2410,122,84,26,32,10245.0
63,2443,122,64,36,42,10795.0
64,2425,122,84,26,32,11245.0
65,2670,140,120,19,27,18280.0
66,2700,134,72,31,39,18344.0
67,3515,183,123,22,25,25552.0
68,3750,183,123,22,25,28248.0
69,3495,183,123,22,25,28176.0
70,3770,183,123,22,25,31600.0
71,3740,234,155,16,18,34184.0
72,3685,234,155,16,18,35056.0
73,3900,308,184,14,16,40960.0
74,3715,304,184,14,16,45400.0
75,2910,140,175,19,24,16503.0
76,1918,92,68,37,41,5389.0
77,1944,92,68,31,38,6189.0
78,2004,92,68,31,38,6669.0
79,2145,98,102,24,30,7689.0
80,2370,110,116,23,30,9959.0
81,2328,122,88,25,32,8499.0
82,2833,156,145,19,24,12629.0
83,2921,156,145,19,24,14869.0
84,2926,156,145,19,24,14489.0
85,2365,122,88,25,32,6989.0
86,2405,122,88,25,32,8189.0
87,2403,110,116,23,30,9279.0
88,2403,110,116,23,30,9279.0
89,1889,97,69,31,37,5499.0
90,2017,103,55,45,50,7099.0
91,1918,97,69,31,37,6649.0
92,1938,97,69,31,37,6849.0
93,2024,97,69,31,37,7349.0
94,1951,97,69,31,37,7299.0
95,2028,97,69,31,37,7799.0
96,1971,97,69,31,37,7499.0
97,2037,97,69,31,37,7999.0
98,2008,97,69,31,37,8249.0
99,2324,120,97,27,34,8949.0
100,2302,120,97,27,34,9549.0
101,3095,181,152,17,22,13499.0
102,3296,181,152,17,22,14399.0
103,3060,181,152,19,25,13499.0
104,3071,181,160,19,25,17199.0
105,3139,181,200,17,23,19699.0
106,3139,181,160,19,25,18399.0
107,3020,120,97,19,24,11900.0
108,3197,152,95,28,33,13200.0
109,3230,120,97,19,24,12440.0
