curbweight,enginesize,horsepower,citympg,highwaympg,price
2548,130,111,21,27,13495.0
2548,130,111,21,27,16500.0
2823,152,154,19,26,16500.0
2337,109,102,24,30,13950.0
2824,136,115,18,22,17450.0
2507,136,110,19,25,15250.0
2844,136,110,19,25,17710.0
2954,136,110,19,25,18920.0
3086,131,140,17,20,23875.0
3053,131,160,16,22,17859.167
2395,108,101,23,29,16430.0
2395,108,101,23,29,16925.0
2710,164,121,21,28,20970.0
2765,164,121,21,28,21105.0
3055,164,121,20,25,24565.0
3230,209,182,16,22,30760.0
3380,209,182,16,22,41315.0
3505,209,182,15,20,36880.0
1488,61,48,47,53,5151.0
1874,90,70,38,43,6295.0
1909,90,70,38,43,6575.0
1876,90,68,37,41,5572.0
1876,90,68,31,38,6377.0
2128,98,102,24,30,7957.0
1967,90,68,31,38,6229.0
1989,90,68,31,38,6692.0
1989,90,68,31,38,7609.0
2191,98,102,24,30,8558.0
2535,122,88,24,30,8921.0
2811,156,145,19,24,12964.0
1713,92,58,49,54,6479.0
1819,92,76,31,38,6855.0
1837,79,60,38,42,5399.0
1940,92,76,30,34,6529.0
1956,92,76,30,34,7129.0
2010,92,76,30,34,7295.0
2024,92,76,30,34,7295.0
2236,110,86,27,33,7895.0
2289,110,86,27,33,9095.0
2304,110,86,27,33,8845.0
2372,110,86,27,33,10295.0
2465,110,101,24,28,12945.0
2293,110,100,25,31,10345.0
2337,111,78,24,29,6785.0
1874,90,70,38,43,8916.5
1909,90,70,38,43,8916.5
2734,119,90,24,29,11048.0
4066,258,176,15,19,32250.0
4066,258,176,15,19,35550.0
3950,326,262,13,17,36000.0
1890,91,68,30,31,5195.0
1900,91,68,31,38,6095.0
1905,91,68,31,38,6795.0
1945,91,68,31,38,6695.0
1950,91,68,31,38,7395.0
2380,70,101,17,23,10945.0
2380,70,101,17,23,11845.0
2385,70,101,17,23,13645.0
2500,80,135,16,23,15645.0
2385,122,84,26,32,8845.0
2410,122,84,26,32,8495.0
2385,122,84,26,32,10595.0
2410,122,84,26,32,10245.0
2443,122,64,36,42,10795.0
2425,122,84,26,32,11245.0
2670,140,120,19,27,18280.0
2700,134,72,31,39,18344.0
3515,183,123,22,25,25552.0
3750,183,123,22,25,28248.0
3495,183,123,22,25,28176.0
3770,183,123,22,25,31600.0
3740,234,155,16,18,34184.0
3685,234,155,16,18,35056.0
3900,308,184,14,16,40960.0
3715,304,184,14,16,45400.0
2910,140,175,19,24,16503.0
1918,92,68,37,41,5389.0
1944,92,68,31,38,6189.0
2004,92,68,31,38,6669.0
2145,98,102,24,30,7689.0
2370,110,116,23,30,9959.0
2328,122,88,25,32,8499.0
2833,156,145,19,24,12629.0
2921,156,145,19,24,14869.0
2926,156,145,19,24,14489.0
2365,122,88,25,32,6989.0
2405,122,88,25,32,8189.0
2403,110,116,23,30,9279.0
2403,110,116,23,30,9279.0
1889,97,69,31,37,5499.0
2017,103,55,45,50,7099.0
1918,97,69,31,37,6649.0
1938,97,69,31,37,6849.0
2024,97,69,31,37,7349.0
1951,97,69,31,37,7299.0
2028,97,69,31,37,7799.0
1971,97,69,31,37,7499.0
2037,97,69,31,37,7999.0
2008,97,69,31,37,8249.0
2324,120,97,27,34,8949.0
2302,120,97,27,34,9549.0
3095,181,152,17,22,13499.0
3296,181,152,17,22,14399.0
3060,181,152,19,25,13499.0
3071,181,160,19,25,17199.0
3139,181,200,17,23,19699.0
3139,181,160,19,25,18399.0
3020,120,97,19,24,11900.0
